final_canonical,dominant_category,total_count,n_raw_variants,n_required,n_preferred,sample_variants
game casual,Domain Knowledge,4,4,0,4,game Casual|game casual|Game casual|casual games
xử lý sự cố kỹ thuật,Soft Skill,4,2,4,0,xử lý sự cố kỹ thuật|xử lý vấn đề kỹ thuật
no code low code platforms,Tool & Platform,4,3,2,2,low-code platforms|Low Code – No Code platforms|no-code/low-code platforms
tự động hóa công nghiệp,Domain Knowledge,4,3,3,1,hệ thống tự động hoá nhà máy|tự động hóa công nghiệp|hệ thống tự động hóa công nghiệp
nsight systems,AI/ML/Data,4,4,4,0,hệ thống tầm nhìn|hệ thống Vision|Vision framework|Nsight Systems
sơ đồ quy trình,Engineering Concepts & Methodologies,4,4,4,0,tài liệu sơ đồ quy trình|vẽ sơ đồ quy trình|sơ đồ quy trình|lập sơ đồ quy trình
tối ưu hiệu suất ứng dụng,Engineering Concepts & Methodologies,4,4,4,0,tối ưu hiệu suất ứng dụng|tối ưu hóa hiệu suất ứng dụng|cải thiện hiệu năng ứng dụng|tối ưu hóa hiệu năng ứng dụng
task management,Soft Skill,4,4,3,1,quản lý task|task management|quản task|task management tools
information architecture,Design & UX,4,3,4,0,information architecture|Information Architecture|kiến trúc thông tin
simulator,Tool & Platform,4,4,4,0,Simulator|simulators|Simulation|casual simulation
mm,Tool & Platform,4,1,3,1,MM
mô hình ml,Infrastructure & DevOps,4,4,3,1,triển khai mô hình ML|mô hình ML|xây dựng mô hình ML|triển khai mô hình AI/ML
secure sdlc,Engineering Concepts & Methodologies,4,2,4,0,Secure SDLC|SDLC Security
security controls,Infrastructure & DevOps,4,4,3,1,kiểm soát an ninh ứng dụng|kiểm soát an ninh hạ tầng|security controls|an ninh giám sát
scada,Embedded & Firmware,4,1,3,1,SCADA
csdl sql,Database,4,3,3,1,Hệ CSDL SQL|CSDL SQL|thiết kế hệ thống CSDL SQL
thiết kế sản phẩm cho app,Design & UX,4,2,4,0,thiết kế giao diện app|thiết kế sản phẩm cho App
storage systems,IT Support & Hardware,4,3,3,1,Storage Systems|storage systems|Storage vật lý
art style,Design & UX,4,3,3,1,tư duy mỹ thuật|art style|mỹ thuật
analytical skill,Soft Skill,4,4,4,0,analytical skill|Analytical Skill|Analytical Ability|analytical ability
payments,Domain Knowledge,4,4,3,1,payments|Payments|payment processing|Payment Processing
penetration testing,Testing & QA,4,3,4,0,penetration testing tools|Penetration Testing|penetration testing
dự án chuyển đổi số,Domain Knowledge,4,2,2,2,dự án chuyển đổi số|Quản lý dự án chuyển đổi số
commerce platforms,Domain Knowledge,4,3,1,3,e-commerce platforms|E-commerce platforms|commerce platforms
component,Framework / Library,4,4,3,1,component|Component|Component UI|ComponentOne
objectoriented concepts,Engineering Concepts & Methodologies,4,4,4,0,object-oriented concepts|objectoriented concepts|Object-Oriented techniques and principles|object-oriented principles
viết các tài liệu nghiệp vụ,Engineering Concepts & Methodologies,4,4,4,0,viết tài liệu chuyên nghiệp|viết các tài liệu nghiệp vụ|viết tài liệu đặc tả nghiệp vụ|biên soạn tài liệu chuyên ngành
microsoft dynamics 365 business central,Tool & Platform,4,2,4,0,Microsoft Dynamics 365 Business Central|Microsoft Dynamics 365 Finance & Operations development tools
amazon s3,Database,4,4,4,0,Amazon API|Amazon Aurona|Amazon Nepture|Amazon S3
network administration,Infrastructure & DevOps,4,3,3,1,NetworkPolicy|network management|network administration
automotive embedded,Embedded & Firmware,4,3,4,0,Automotive Embedded Systems & Applications|Automotive Embedded|Automotive Embedded System
zeppelin,Framework / Library,4,3,4,0,OpenZeppelin|openzeppelin|Zeppelin
data leak,Data Engineering & Analytics,4,2,4,0,data leak|data leakage
linux kernel,Embedded & Firmware,4,2,4,0,Linux kernel|Linux Kernel
collaborative,Soft Skill,4,3,4,0,cộng tác|làm việc hợp tác|collaborative
working with vendors,Soft Skill,4,3,3,1,làm việc với Vendor|làm việc với vendor|working with vendors
sap erp,Tool & Platform,4,1,4,0,SAP ERP
tối ưu tốc độ tải trang,Engineering Concepts & Methodologies,4,3,4,0,tối ưu hóa tốc độ tải trang|Tối ưu tốc độ tải trang|tối ưu tốc độ tải trang
xử lý lỗi,Engineering Concepts & Methodologies,4,2,4,0,xử lý lỗi|theo dõi lỗi
làm việc với dữ liệu,Data Engineering & Analytics,4,2,4,0,làm việc với dữ liệu|làm việc với dữ liệu & thông tin
mvc model,Engineering Concepts & Methodologies,4,2,4,0,MVC model|mô hình MVC
color theory,Design & UX,4,3,4,0,Color Theory|tư duy phối màu|lý thuyết màu sắc
phần mềm quản lý bán lẻ,Domain Knowledge,4,3,1,3,Phần mềm quản lý bán hàng|phần mềm quản lý bán hàng|phần mềm quản lý bán lẻ
super app,Domain Knowledge,4,3,0,4,Super App|SuperApp|super app
chứng chỉ vmware,Other,4,3,2,2,chứng chỉ quốc tế VMware|chứng chỉ VMware|ảo hóa VMware
cloud storage,Infrastructure & DevOps,4,3,3,1,Cloud Storage|Cloud storage|cloud storage
power apps,Tool & Platform,4,2,3,1,Power Apps|Microsoft Power Apps
sản phẩm demo,Design & UX,4,2,1,3,sản phẩm demo|demo sản phẩm
yocto,Tool & Platform,4,1,2,2,Yocto
full stack web development,Domain Knowledge,4,3,4,0,Full Stack Web Developer|full-stack web development|full-stack web applications
swift package manager,Tool & Platform,4,2,4,0,Swift Package|Swift Package Manager
technical solution consulting,Soft Skill,4,3,3,1,tư vấn giải pháp công nghệ|tư vấn giải pháp kỹ thuật|technical solution consulting
istqb certification,Other,4,2,0,4,ISTQB certification|ISTQB certificate
performance monitoring,Infrastructure & DevOps,4,3,4,0,systems performance-monitoring tools|system performance monitoring|performance monitoring
scaling,Infrastructure & DevOps,4,1,4,0,scaling
app,Domain Knowledge,4,3,2,2,App|app|APP
data validation,Testing & QA,4,3,4,0,data validation|database validation|data validation techniques
ios application,Other,4,2,4,0,phát triển ứng dụng iOS|iOS application
quy trình sản xuất trong nhà máy,Domain Knowledge,4,4,4,0,"quy trình sản xuất trong nhà máy|quy trình vận hành, quản lý trong nhà máy sản xuất|quy trình vận hành, quản lý trong các nhà máy sản xuất|Quy trình lập kế hoạch sản xuất nhà máy"
soạn thảo,Soft Skill,4,4,4,0,lập biên bản|soạn thảo|soạn thảo văn bản|viết lách
hệ thống học tập trực tuyến,Domain Knowledge,4,4,3,1,nền tảng giáo dục/đào tạo trực tuyến|hệ thống học tập trực tuyến|sản phẩm giáo dục trực tuyến|hệ thống đào tạo trực tuyến
component libraries,Framework / Library,4,3,4,0,UI component libraries|Component Library|component libraries
itsm,Tool & Platform,4,1,2,2,ITSM
soap api,Engineering Concepts & Methodologies,4,2,4,0,SOAP API|SOAP APIs
triton,Infrastructure & DevOps,4,1,1,3,Triton
profiling,Engineering Concepts & Methodologies,4,2,3,1,profiling|profiling tools
mainframe,Tool & Platform,4,4,2,2,Mainframe|tích hợp hệ thống mainframe|Máy chủ Mainframe|mainframe development
quality assessment,Testing & QA,4,2,4,0,quality assessment|quality improvement
mcp (model context protocol),Other,4,1,0,4,MCP (Model Context Protocol)
query tối ưu,Engineering Concepts & Methodologies,4,3,4,0,query tối ưu|viết query tối ưu|tối ưu câu query
sagemaker,AI/ML/Data,4,2,3,1,AWS SageMaker|SageMaker
lightgbm,AI/ML/Data,4,1,2,2,LightGBM
xử lý bất đồng bộ,Engineering Concepts & Methodologies,4,2,4,0,xử lý bất đồng bộ|xử lý đồng bộ/Bất đồng bộ
ibm websphere,Infrastructure & DevOps,4,3,2,2,IBM WebSphere|IBM Websphere|IBM – WebSphere Application Server
ticketing systems,Tool & Platform,4,4,2,2,ticketing platforms|hệ thống ticket|ticketing systems|IT ticketing systems
card management systems,Domain Knowledge,4,3,3,1,Card Management Systems|hệ thống Thẻ|Card Management
xử lý sự cố phần mềm,IT Support & Hardware,4,2,4,0,xử lý vấn đề với phần mềm|xử lý sự cố phần mềm
ftp,Infrastructure & DevOps,4,1,1,3,FTP
server infrastructure,Infrastructure & DevOps,4,3,3,1,Server/System/Infrastructure Operations|server infrastructure operations|server infrastructure
escalation,Infrastructure & DevOps,4,3,3,1,issue escalation|escalation management|escalation
zero trust architecture,Infrastructure & DevOps,4,4,2,2,Zero Trust Architecture|Zero-Trust architecture|Zero Trust Architecture (ZTNA)|Zero Trust platforms
web mobile app,Domain Knowledge,4,4,3,1,Tương thích trình duyệt mobile|lập trình ứng dụng web/mobile|web/mobile app|web or mobile applications
manage multiple projects,Soft Skill,4,3,4,0,manage projects|manage multiple projects|manage IT projects
security groups,Infrastructure & DevOps,4,4,3,1,nhóm bảo mật|Security Group|security groups|Security Groups
requirement management,Engineering Concepts & Methodologies,4,3,3,1,requirement management|Configuration & Requirement Management tools|requirement management tools
hệ thống lớn,Engineering Concepts & Methodologies,4,4,2,2,hệ thống vận hành quy mô lớn|vận hành các hệ thống lớn|hệ thống lớn|triển khai các hệ thống lớn
investment,Domain Knowledge,3,3,2,1,investment|Investment|sản phẩm đầu tư
sql tuning,Engineering Concepts & Methodologies,3,3,3,0,SQL tuning|SQL database performance tuning|SQL performance tuning
hạ tầng ảo hóa,Infrastructure & DevOps,3,3,2,1,hạ tầng ảo hóa|hệ thống ảo hoá|Cơ sở hạ tầng ảo hóa KVM
hóa dược,Domain Knowledge,3,3,1,2,hóa dược|nhập liệu|tổng hợp
test frameworks,Testing & QA,3,3,2,1,testing frameworks|API testing frameworks|test frameworks
bán hàng online,Domain Knowledge,3,3,1,2,Bán hàng online|bán hàng online|vận hành website bán hàng
ai assisted coding tool,Tool & Platform,3,3,2,1,AI-assisted programming tools|AI-assisted coding tool|AI-powered coding assistance tools
mô hình mạng,Infrastructure & DevOps,3,3,3,0,mô hình mạng|mô hình mạng LAN|mô hình mạng OSI
validation,Testing & QA,3,3,2,1,validation processes|automated validation|Validation
publish app,Tool & Platform,3,3,2,1,publish app lên App Store|publish app|publishing apps to the App Store
structured thinking,Soft Skill,3,2,3,0,Structured thinking|analytical and structured thinking
third party apis,Engineering Concepts & Methodologies,3,2,3,0,third-party API|third-party APIs
medical dental domain,Domain Knowledge,3,2,0,3,healthcare/dental domain|medical/dental domain
client interactions,Soft Skill,3,3,2,1,client interactions|client relationship management|client relationship
locking,Engineering Concepts & Methodologies,3,2,3,0,locking|Locking
xử lý công việc theo tiến độ,Soft Skill,3,2,3,0,quản lý tiến độ công việc|xử lý công việc theo tiến độ
web scraping,Data Engineering & Analytics,3,3,0,3,web scraping|Web Scraping/Crawling|Web scraping
application development processes,Engineering Concepts & Methodologies,3,3,3,0,quy trình phát hành ứng dụng|quy trình phát triển ứng dụng|application development processes
core graphics,Framework / Library,3,2,3,0,Core Graphics|Core Graphic
asynchronous messaging,Engineering Concepts & Methodologies,3,3,3,0,asynchronous messaging|asynchronous communication patterns|asynchronous communication
log,Infrastructure & DevOps,3,1,3,0,log
aws database services,Other,3,3,1,2,AWS Database Specialty|AWS Database Speciality|AWS database services
mis,Data Engineering & Analytics,3,1,3,0,MIS
pos systems,Tool & Platform,3,2,1,2,POS systems|hệ thống POS
modular architecture,Engineering Concepts & Methodologies,3,2,2,1,modular architecture|Modular Design
mail exchange,Tool & Platform,3,3,3,0,Exchange email|mail Exchange|Mail Exchange
quản lý kế hoạch,Soft Skill,3,3,3,0,lập kế hoạch và quản lý công việc|lập kế hoạch và quản lý|quản lý kế hoạch
warehouse,Domain Knowledge,3,2,2,1,Warehouse|Warehouse Operations
web architecture,Engineering Concepts & Methodologies,3,3,3,0,cấu trúc ứng dụng Web/API|Web Application Architecture|web architecture
làm việc tại nhật bản,Soft Skill,3,3,1,2,làm việc với KH Nhật Bản|kinh nghiệm làm việc tại Nhật Bản|làm việc trực tiếp với KH Nhật Bản
oss,Other,3,1,0,3,OSS
saml,Other,3,1,2,1,SAML
seo on page,Tool & Platform,3,1,3,0,SEO on-page
cloud governance frameworks,Infrastructure & DevOps,3,3,2,1,quản trị các hệ thống quản lý hạ tầng cloud|cloud governance frameworks|cloud systems administration
search console,Tool & Platform,3,2,3,0,Google Search Console|Search Console
finops,Infrastructure & DevOps,3,1,1,2,FinOps
antt,Domain Knowledge,3,1,3,0,ANTT
flowchart drawing,Engineering Concepts & Methodologies,3,2,3,0,flowchart drawing|vẽ flowchart
gis spatial data,AI/ML/Data,3,2,0,3,spatial data structures|GIS/spatial data
apple store,Tool & Platform,3,2,1,2,apple store connect|Apple Store
data transformation,Data Engineering & Analytics,3,2,2,1,Automatic data transformation|data transformation
citrix,Infrastructure & DevOps,3,1,1,2,Citrix
mã hóa,Infrastructure & DevOps,3,1,3,0,mã hóa
cisco ucs,Infrastructure & DevOps,3,2,1,2,Cisco UCS|Cisco Meraki
facebook,Tool & Platform,3,2,2,1,Facebook|Facebook API
zigbee,Domain Knowledge,3,1,1,2,Zigbee
api service,Engineering Concepts & Methodologies,3,3,2,1,Firebase Services|API/Service|API service
illustration,Design & UX,3,3,2,1,illustration|Illustration|vẽ minh họa
multi modal ai systems,AI/ML/Data,3,3,2,1,hệ thống đa nền tảng|Multi-modal AI systems|multi-modal AI systems
làm việc đa phòng ban,Soft Skill,3,3,3,0,"phối hợp làm việc đa phòng ban|Làm việc đa phòng ban|làm việc đa phòng ban, đa đối tác"
product delivery,Domain Knowledge,3,2,3,0,product delivery|Product Delivery
sửa chữa máy tính,IT Support & Hardware,3,2,3,0,"sửa chữa, bảo trì máy tính|sửa chữa máy tính"
test coverage,Testing & QA,3,2,3,0,test coverage|automated test coverage
technical blog,Soft Skill,3,2,0,3,blog kỹ thuật|technical blog
open source contribution,Other,3,3,0,3,đóng góp open-source|Open Source contribution|open source contribution
tối ưu prompt,AI/ML/Data,3,2,3,0,kỹ thuật prompt|tối ưu prompt
rendering pipeline,Engineering Concepts & Methodologies,3,2,2,1,rendering pipeline|custom rendering pipelines
incident,Engineering Concepts & Methodologies,3,3,2,1,Incident|incident reports|incident review
flyway,Tool & Platform,3,1,2,1,Flyway
management information system,Domain Knowledge,3,2,3,0,Management Information System|quản lý hệ thống thông tin
graph analytics,AI/ML/Data,3,3,3,0,Graph Analytics|graph analytics|Graph Algorithms
multitask,Engineering Concepts & Methodologies,3,3,2,1,multitasking programming|MultiTask|multitasking environments
kiến trúc ứng dụng,Engineering Concepts & Methodologies,3,2,3,0,kiến trúc ứng dụng|cấu trúc ứng dụng
bảo mật cntt,Infrastructure & DevOps,3,2,3,0,bảo mật CNTT|bảo mật CSDL
optimize app performance,Engineering Concepts & Methodologies,3,3,2,1,optimize app performance|Tối ưu app performance|tối ưu hiệu năng của app
reverse engineering,Engineering Concepts & Methodologies,3,3,2,1,reverse-engineering|Reverse Engineering|chống reverse engineering
truy vấn database,Database,3,3,2,1,truy vấn database|truy vấn với các hệ cơ sở dữ liệu|tối ưu truy vấn cơ sở dữ liệu
chứng chỉ ba,Other,3,3,1,2,chứng chỉ BA|chứng chỉ nghiệp vụ BA|nghiệp vụ BA
e wallet,Domain Knowledge,3,2,0,3,E-Wallet|E-wallets
model training,AI/ML/Data,3,2,3,0,huấn luyện mô hình|Model training
babok,Other,3,1,2,1,BABOK
webapi,Engineering Concepts & Methodologies,3,2,3,0,webapi|WebAPI
phân tích kết quả test,Testing & QA,3,3,3,0,phân tích kết quả test|phân tích kết quả kiểm thử và báo cáo|phân tích kết quả kiểm thử
comptia network+,Other,3,2,0,3,CompTIA Network+|Network+
huấn luyện,Soft Skill,3,3,3,0,huấn luyện công việc|huấn luyện|huấn luyện và đào tạo
